'x', 'y', 'distance', 'angle'
412.8662217019554, -900.65697318086, 1596, -2.429100539835371
401.5252004750323, -910.4743678215211, 1611, -2.428080834141304
391.6784345389651, -918.9620766172036, 1624, -2.430184945995498
380.5762996008003, -927.4910038542471, 1638, -2.486529799590203
368.6784570284242, -936.6256271153867, 1653, -2.486825102085563
358.2929373125143, -944.4448969170017, 1666, -2.49623738898442
346.0982660307739, -954.8029851735429, 1682, -2.437450144962473
335.7474008344263, -962.668071930028, 1695, -2.491818404623642
323.5433019539387, -971.3893086837967, 1710, -2.521124909765506
313.0287088376924, -980.6328649042014, 1724, -2.420435725384086
301.7407212770889, -990.5111915252268, 1739, -2.422695548937022
290.8442557980336, -1000.819782120636, 1754, -2.383910726391837
280.4874214945269, -1011.670403448915, 1769, -2.332915044022228
270.2339955525337, -1021.202835271491, 1783, -2.392618245713432
258.1167516900713, -1030.04435104525, 1798, -2.511234169709141
245.7847608212637, -1038.583789036807, 1813, -2.535943524896974
233.0982640066473, -1046.587088267294, 1828, -2.578796371938416
221.4006646878629, -1055.976772509971, 1843, -2.465206431096996
210.4996110770036, -1064.761249169009, 1857, -2.463302444879135
199.1858324193976, -1074.610026376698, 1872, -2.425310335428926
188.5121916126619, -1083.669462999843, 1886, -2.437814706924875
177.7340018069551, -1094.10165474042, 1901, -2.372505718675288
167.3434134796707, -1104.919957482204, 1916, -2.336030472953302
155.9366152951314, -1114.660848364315, 1931, -2.43480705864078
143.7058537245376, -1121.473224704719, 1945, -2.633400902840286
131.439542051926, -1130.106740671597, 1960, -2.528294418503252
120.5801262291424, -1137.253284450787, 1973, -2.559546718561367
109.1492552194786, -1146.965914782496, 1988, -2.437281964090786
97.86706077458199, -1156.85085729662, 2003, -2.422109298200742
86.3141634559053, -1166.418017980131, 2018, -2.449940263086883
74.7000052573593, -1175.91071671859, 2033, -2.456368502410139
63.71942885332381, -1184.595585274598, 2047, -2.4724066491771
53.04085111902717, -1193.649202097315, 2061, -2.438359830633964
41.35582700221451, -1203.054530979896, 2076, -2.46386828889816
30.13171933761967, -1211.422290962925, 2090, -2.500967021068631
18.36737786718416, -1220.728217556607, 2105, -2.472346274636401
7.580585333128102, -1229.652628283777, 2119, -2.450398247256764
-4.933876571436626, -1239.621993521304, 2135, -2.468911463488945
-16.50283575153911, -1249.169725371807, 2150, -2.451620822641897
-28.65219756651928, -1259.580921628179, 2166, -2.43308702933822
-40.06647829590612, -1269.31304346418, 2181, -2.435575562681477
-51.09188651289294, -1277.940926961817, 2195, -2.477585688604697
-61.80821687735426, -1286.949826090996, 2209, -2.442540042880203
-73.51504763145688, -1296.327998284702, 2224, -2.46619018058432
-84.73551085939992, -1304.700644518144, 2238, -2.500531615075836
-95.15160321949109, -1314.055056308634, 2252, -2.409843188059734
-106.6740873391741, -1323.658824304147, 2267, -2.446767420081841
-117.270127296223, -1332.808902840894, 2281, -2.429291648595789
-128.9799136085167, -1342.183384400981, 2296, -2.466505395508603
-140.6328797343246, -1351.628403218896, 2311, -2.460466976560826
-151.5401150171896, -1360.405203232809, 2325, -2.464006456536778
-163.4924198272666, -1369.46844822161, 2340, -2.49281064658477
-175.0436347742238, -1379.037640102285, 2355, -2.449764433162188
-186.7804619694456, -1389.911778568826, 2371, -2.394329548344029
-196.9691221805899, -1399.513403592844, 2385, -2.385848590535093
-208.2095809077281, -1410.899890654423, 2401, -2.34974084379833
-217.6512850239249, -1421.236922306797, 2415, -2.310958194318858
-228.5335427954799, -1434.297414862342, 2432, -2.265467450296188
-237.483021878853, -1446.335139902243, 2447, -2.2100939727268
-246.0570826090057, -1458.643083783967, 2462, -2.179255748303784
-253.8385659904023, -1470.281318890075, 2476, -2.160145662235454
-261.5767748208236, -1483.131226442146, 2491, -2.112831590208226
